matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
48993,7,57,3,4,DUO_SUPPORT,BOT,0,1,7,17,49379,42755,6533,90,24937,8553,15075,1308,37,1,1,0
49089,2,57,3,4,DUO_SUPPORT,BOT,1,3,2,9,49179,39736,6401,3041,17343,5981,10735,626,31,2,0,2
49147,2,57,4,3,DUO_SUPPORT,BOT,0,1,7,9,44334,34742,4941,4650,26747,10042,13149,3555,53,0,0,0
49195,7,57,4,3,DUO_SUPPORT,BOT,0,2,7,13,73818,58844,9526,5447,36521,13197,20108,3215,53,5,5,0
49220,10,57,4,14,DUO_SUPPORT,BOT,0,1,4,4,32541,26902,5301,338,7626,1627,5577,422,19,2,2,0
49249,4,57,4,14,DUO_SUPPORT,BOT,1,6,3,12,53204,32478,12767,7958,15490,2145,13023,322,37,1,0,1
49303,3,57,3,4,DUO_SUPPORT,BOT,0,2,6,9,50818,42687,8100,30,17750,3348,14131,270,49,0,0,0
49336,1,57,4,14,DUO_SUPPORT,BOT,0,2,6,2,43136,38507,4346,282,11675,3898,7516,260,24,7,2,5
49354,4,57,3,4,DUO_SUPPORT,BOT,0,3,8,18,72155,64191,6702,1261,29692,8949,20102,640,55,1,0,1
49370,2,57,4,3,DUO_SUPPORT,BOT,0,8,7,10,69914,64980,4339,594,26299,8729,15326,2243,29,0,0,0
49372,7,57,3,4,DUO_SUPPORT,BOT,0,0,10,20,46871,42355,4516,0,32688,12830,18791,1066,22,0,0,0
49376,6,57,3,4,DUO_SUPPORT,BOT,0,3,6,10,54566,52155,2242,168,23366,5542,17066,757,29,0,0,0
49437,8,57,4,3,DUO_SUPPORT,BOT,1,1,4,11,35842,21626,7734,6481,16326,7059,8992,274,52,0,0,0
49438,4,57,14,4,DUO_SUPPORT,BOT,1,6,2,8,35078,30605,3907,566,7516,2595,4573,347,28,4,4,0
49542,2,57,4,14,DUO_SUPPORT,BOT,0,2,14,9,64476,57898,5993,584,30046,7377,20069,2600,40,0,0,0
49581,4,57,3,4,DUO_SUPPORT,BOT,0,0,4,4,29086,20140,4949,3996,15506,4913,9964,628,36,0,0,0
49596,3,57,4,3,DUO_SUPPORT,BOT,1,2,11,13,78047,68940,8371,735,33615,12843,18593,2178,46,9,0,9
49605,8,57,3,4,DUO_SUPPORT,BOT,1,2,4,16,38798,28058,8018,2720,27080,6667,19556,857,34,1,0,1
49614,4,57,3,4,DUO_SUPPORT,BOT,1,1,4,11,41879,33048,6215,2615,19519,5853,11221,2444,26,1,0,1
49716,7,57,4,3,DUO_SUPPORT,BOT,1,1,4,13,36825,23790,7798,5236,17911,4084,13213,614,32,1,0,1
49730,2,57,3,4,DUO_SUPPORT,BOT,1,4,3,15,59115,43697,11904,3513,21326,6082,13733,1511,59,0,0,0
49931,9,57,4,3,DUO_SUPPORT,BOT,1,1,9,18,57052,53485,3315,252,29938,11807,17880,250,23,4,3,1
49961,2,57,4,14,DUO_SUPPORT,BOT,1,5,4,10,65466,58036,6697,733,15880,4021,10977,880,23,2,0,2
49986,1,57,3,4,DUO_SUPPORT,BOT,0,5,6,6,65385,61192,4156,36,28912,15791,12025,1096,31,1,1,0
50025,7,57,4,3,DUO_SUPPORT,BOT,1,2,4,18,34096,26396,7019,681,14633,3312,10807,513,24,0,0,0
50036,2,57,4,3,DUO_SUPPORT,BOT,1,2,9,15,47157,43957,2771,428,24612,12789,10271,1551,17,2,0,2
50070,8,57,3,4,DUO_SUPPORT,BOT,0,5,7,19,54144,46740,5452,1952,30670,10434,18841,1394,30,0,0,0
50077,8,57,4,3,DUO_SUPPORT,BOT,1,1,3,14,40243,33900,6343,0,14227,6068,7990,168,19,0,0,0
50086,4,57,4,14,DUO_SUPPORT,BOT,0,3,5,1,29939,26018,3531,389,11922,1298,10454,170,20,0,0,0
50091,5,57,14,4,DUO_SUPPORT,BOT,0,1,8,14,39892,28061,5537,6293,27451,8916,17450,1084,41,0,0,0
50096,4,57,4,14,DUO_SUPPORT,BOT,1,3,1,7,41749,34750,6406,592,9853,4690,4655,507,16,3,1,2
50112,7,57,4,14,DUO_SUPPORT,BOT,1,0,4,9,32525,20932,5098,6495,12705,6296,6284,124,41,0,0,0
50121,8,57,14,4,DUO_SUPPORT,BOT,1,4,4,9,36040,30121,4881,1037,17535,3633,13767,134,23,1,0,1
50139,9,57,3,4,DUO_SUPPORT,BOT,0,4,4,3,45017,39554,5462,0,16919,7928,8064,926,18,0,0,0
50168,4,57,4,14,DUO_SUPPORT,BOT,0,1,10,15,66208,56973,6747,2487,26722,8813,16871,1038,26,17,16,1
50170,10,57,4,14,DUO_SUPPORT,BOT,0,2,9,13,49970,29857,8194,11918,29113,12708,15363,1042,55,1,1,0
50175,7,57,3,4,DUO_SUPPORT,BOT,1,0,2,21,39116,28360,6491,4264,21396,5255,14725,1415,45,0,0,0
50186,4,57,14,4,DUO_SUPPORT,BOT,1,6,2,2,44203,41724,1591,888,10649,4423,6225,0,22,1,0,1
50187,10,57,3,4,DUO_SUPPORT,BOT,0,4,7,7,48143,34506,6883,6754,23149,5733,16905,510,61,3,0,3
50192,7,57,4,14,DUO_SUPPORT,BOT,0,2,6,14,42992,35666,4821,2503,22873,8206,14106,560,30,2,2,0
50234,2,57,4,14,DUO_SUPPORT,BOT,1,4,10,25,69828,62528,5015,2284,29847,8356,21343,147,41,1,0,1
50252,10,57,4,14,DUO_SUPPORT,BOT,1,3,1,12,47875,41999,5430,444,9248,2512,5674,1061,26,6,0,6
50255,4,57,4,14,DUO_SUPPORT,BOT,0,2,5,3,51249,47893,3025,330,17517,4187,12401,928,29,7,6,1
50346,8,57,4,3,DUO_SUPPORT,BOT,1,0,5,18,42863,28394,8897,5571,27848,11560,12603,3684,38,0,0,0
