matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
48464,7,223,4,3,DUO_SUPPORT,BOT,1,3,7,21,31610,12904,9988,8717,32610,10230,13741,8638,44,0,0,0
31439,2,89,3,4,DUO_SUPPORT,BOT,1,3,6,18,45703,18558,15862,11282,23949,8392,14429,1127,59,0,0,0
65126,6,89,4,3,DUO_SUPPORT,BOT,0,1,4,14,36251,14381,10666,11203,25383,12830,11981,571,74,0,0,0
8524,9,412,4,3,DUO_SUPPORT,BOT,0,2,7,13,26139,18570,7069,500,26926,9785,15917,1224,35,0,0,0
89087,9,412,3,4,DUO_SUPPORT,BOT,0,0,11,9,12253,8348,3905,0,22750,7339,14219,1192,29,0,0,0
90942,4,98,3,4,DUO_SUPPORT,BOT,1,3,6,23,63120,16906,35448,10765,30069,11211,18166,691,56,16,12,4
14761,5,111,4,3,DUO_SUPPORT,BOT,1,6,3,13,41000,21339,13261,6398,11478,1196,9929,352,37,1,0,1
98336,8,412,4,3,DUO_SUPPORT,BOT,0,4,4,4,12131,5821,5861,448,12009,4229,7647,132,7,1,0,1
2119,3,201,3,4,DUO_SUPPORT,BOT,0,1,7,8,17744,6048,6384,5312,20850,7500,12995,354,30,0,0,0
67426,4,412,4,3,DUO_SUPPORT,BOT,1,0,11,28,26782,17162,9074,545,28618,13420,15069,128,25,0,0,0
81807,3,98,4,3,DUO_SUPPORT,BOT,1,3,2,13,25452,2735,13346,9371,11790,3689,7549,550,43,0,0,0
47016,1,412,14,4,DUO_SUPPORT,BOT,0,2,4,16,27528,18513,7279,1735,23402,6156,15339,1906,48,0,0,0
49137,6,111,3,4,DUO_SUPPORT,BOT,0,0,9,4,32209,12835,9576,9797,19881,4166,14025,1689,55,0,0,0
75368,3,111,3,4,DUO_SUPPORT,BOT,1,0,2,26,58409,25293,17185,15930,20413,7023,13206,184,66,1,0,1
27230,4,89,3,4,DUO_SUPPORT,BOT,0,1,4,15,33020,15301,9989,7730,20434,5921,13624,888,48,0,0,0
77528,6,412,4,14,DUO_SUPPORT,BOT,1,1,5,13,18423,9209,6918,2296,16702,6271,9824,607,27,0,0,0
75433,7,412,4,3,DUO_SUPPORT,BOT,0,1,10,6,12001,8587,3388,26,24422,9086,14612,723,31,0,0,0
54571,9,412,14,4,DUO_SUPPORT,BOT,1,2,5,13,15978,8779,6961,238,11998,6583,5139,275,5,1,0,1
85177,10,44,3,4,DUO_SUPPORT,BOT,1,1,5,24,35614,15586,9771,10256,34849,8180,25298,1371,59,0,0,0
86404,5,201,4,3,DUO_SUPPORT,BOT,0,0,11,29,62704,22218,16756,23728,46462,15896,28537,2028,93,1,1,0
22169,2,223,3,4,DUO_SUPPORT,BOT,1,5,7,18,44696,24902,9639,10153,37257,20536,16483,238,49,0,0,0
56082,9,412,4,3,DUO_SUPPORT,BOT,0,2,9,25,42334,31620,10714,0,35595,6507,28799,289,35,0,0,0
